noise_density,noise_magnitude,method,nmi,simulation,signal_strength
0.05,18.0,outlier_pursuit,0.018639764244343528,3,2.0
0.05,18.0,spectral_unnormalized,0.027864554950917775,4,2.0
0.05,18.0,rpca,0.7648442977525683,4,2.0
0.05,18.0,outlier_pursuit,0.018639764244343528,4,2.0
0.05,18.0,spectral_unnormalized,0.005353485220424157,5,2.0
0.05,18.0,rpca,0.8347636587075117,5,2.0
0.05,18.0,outlier_pursuit,0.018639764244343528,5,2.0
0.05,18.0,spectral_unnormalized,0.0028579308471863582,6,2.0
0.05,18.0,rpca,0.8585594574581795,6,2.0
0.05,18.0,outlier_pursuit,0.018639764244343528,6,2.0
0.05,18.0,spectral_unnormalized,0.08552565975067121,7,2.0
0.05,18.0,rpca,0.7577078109175857,7,2.0
0.05,18.0,outlier_pursuit,0.018639764244343528,7,2.0
0.05,18.0,spectral_unnormalized,0.01679217492080067,8,2.0
0.05,18.0,rpca,0.9291252238549075,8,2.0
0.05,18.0,outlier_pursuit,0.018639764244343528,8,2.0
0.05,18.0,spectral_unnormalized,0.15944314871033458,9,2.0
0.05,18.0,rpca,0.8782063702756283,9,2.0
0.05,18.0,outlier_pursuit,0.018639764244343528,9,2.0
0.1,0.0,spectral_unnormalized,1.0,0,2.0
0.1,0.0,rpca,1.0,0,2.0
0.1,0.0,outlier_pursuit,0.018639764244343528,0,2.0
0.1,0.0,spectral_unnormalized,1.0,1,2.0
0.1,0.0,rpca,1.0,1,2.0
0.1,0.0,outlier_pursuit,0.018639764244343528,1,2.0
0.1,0.0,spectral_unnormalized,1.0,2,2.0
0.1,0.0,rpca,1.0,2,2.0
0.1,0.0,outlier_pursuit,0.018639764244343528,2,2.0
0.1,0.0,spectral_unnormalized,1.0,3,2.0
0.1,0.0,rpca,1.0,3,2.0
0.1,0.0,outlier_pursuit,0.018639764244343528,3,2.0
0.1,0.0,spectral_unnormalized,1.0,4,2.0
0.1,0.0,rpca,1.0,4,2.0
0.1,0.0,outlier_pursuit,0.018639764244343528,4,2.0
0.1,0.0,spectral_unnormalized,1.0,5,2.0
0.1,0.0,rpca,1.0,5,2.0
0.1,0.0,outlier_pursuit,0.018639764244343528,5,2.0
0.1,0.0,spectral_unnormalized,1.0,6,2.0
0.1,0.0,rpca,1.0,6,2.0
0.1,0.0,outlier_pursuit,0.018639764244343528,6,2.0
0.1,0.0,spectral_unnormalized,1.0,7,2.0
0.1,0.0,rpca,1.0,7,2.0
0.1,0.0,outlier_pursuit,0.018639764244343528,7,2.0
0.1,0.0,spectral_unnormalized,1.0,8,2.0
0.1,0.0,rpca,1.0,8,2.0
0.1,0.0,outlier_pursuit,0.018639764244343528,8,2.0
0.1,0.0,spectral_unnormalized,1.0,9,2.0
0.1,0.0,rpca,1.0,9,2.0
0.1,0.0,outlier_pursuit,0.018639764244343528,9,2.0
0.1,2.0,spectral_unnormalized,0.7149460394223505,0,2.0
0.1,2.0,rpca,0.6725550808455241,0,2.0
0.1,2.0,outlier_pursuit,0.018639764244343528,0,2.0
0.1,2.0,spectral_unnormalized,0.7577078109175857,1,2.0
0.1,2.0,rpca,0.7149460394223505,1,2.0
0.1,2.0,outlier_pursuit,0.018639764244343528,1,2.0
0.1,2.0,spectral_unnormalized,0.7265356414540423,2,2.0
0.1,2.0,rpca,0.6597573034496935,2,2.0
0.1,2.0,outlier_pursuit,0.018639764244343528,2,2.0
0.1,2.0,spectral_unnormalized,0.6770006327837454,3,2.0
0.1,2.0,rpca,0.7265356414540423,3,2.0
0.1,2.0,outlier_pursuit,0.018639764244343528,3,2.0
