sigma,method,nmi,simulation,signal_strength
1.0,outlier_pursuit,0.018639764244343528,9,2.0
1.389,spectral_unnormalized,1.0,0,1.0366341319044368
1.389,rpca,1.0,0,1.0366341319044368
1.389,outlier_pursuit,0.018639764244343528,0,1.0366341319044368
1.389,spectral_unnormalized,1.0,1,1.0366341319044368
1.389,rpca,1.0,1,1.0366341319044368
1.389,outlier_pursuit,0.018639764244343528,1,1.0366341319044368
1.389,spectral_unnormalized,1.0,2,1.0366341319044368
1.389,rpca,1.0,2,1.0366341319044368
1.389,outlier_pursuit,0.018639764244343528,2,1.0366341319044368
1.389,spectral_unnormalized,1.0,3,1.0366341319044368
1.389,rpca,1.0,3,1.0366341319044368
1.389,outlier_pursuit,0.018639764244343528,3,1.0366341319044368
1.389,spectral_unnormalized,1.0,4,1.0366341319044368
1.389,rpca,1.0,4,1.0366341319044368
1.389,outlier_pursuit,0.018639764244343528,4,1.0366341319044368
1.389,spectral_unnormalized,1.0,5,1.0366341319044368
1.389,rpca,1.0,5,1.0366341319044368
1.389,outlier_pursuit,0.018639764244343528,5,1.0366341319044368
1.389,spectral_unnormalized,1.0,6,1.0366341319044368
1.389,rpca,1.0,6,1.0366341319044368
1.389,outlier_pursuit,0.018639764244343528,6,1.0366341319044368
1.389,spectral_unnormalized,1.0,7,1.0366341319044368
1.389,rpca,1.0,7,1.0366341319044368
1.389,outlier_pursuit,0.018639764244343528,7,1.0366341319044368
1.389,spectral_unnormalized,1.0,8,1.0366341319044368
1.389,rpca,1.0,8,1.0366341319044368
1.389,outlier_pursuit,0.018639764244343528,8,1.0366341319044368
1.389,spectral_unnormalized,1.0,9,1.0366341319044368
1.389,rpca,1.0,9,1.0366341319044368
1.389,outlier_pursuit,0.018639764244343528,9,1.0366341319044368
1.931,spectral_unnormalized,1.0,0,0.5363711967594598
1.931,rpca,1.0,0,0.5363711967594598
1.931,outlier_pursuit,0.018639764244343528,0,0.5363711967594598
1.931,spectral_unnormalized,1.0,1,0.5363711967594598
1.931,rpca,1.0,1,0.5363711967594598
1.931,outlier_pursuit,0.018639764244343528,1,0.5363711967594598
1.931,spectral_unnormalized,1.0,2,0.5363711967594598
1.931,rpca,1.0,2,0.5363711967594598
1.931,outlier_pursuit,0.018639764244343528,2,0.5363711967594598
1.931,spectral_unnormalized,1.0,3,0.5363711967594598
1.931,rpca,1.0,3,0.5363711967594598
1.931,outlier_pursuit,0.018639764244343528,3,0.5363711967594598
1.931,spectral_unnormalized,1.0,4,0.5363711967594598
1.931,rpca,1.0,4,0.5363711967594598
1.931,outlier_pursuit,0.018639764244343528,4,0.5363711967594598
1.931,spectral_unnormalized,1.0,5,0.5363711967594598
1.931,rpca,1.0,5,0.5363711967594598
1.931,outlier_pursuit,0.018639764244343528,5,0.5363711967594598
1.931,spectral_unnormalized,1.0,6,0.5363711967594598
1.931,rpca,1.0,6,0.5363711967594598
1.931,outlier_pursuit,0.018639764244343528,6,0.5363711967594598
